cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
Demons,Imagine Dragons,2012-01-01,847,52.8,"2,270,796,677","263,640","71,470,111",80.0,"1,738,647,396","261,866","296,361,891","18,161,724",2012
Supalonely,BENEE,2019-11-15,845,52.8,"738,407,486","111,662","26,764,629",62.0,"363,250,356","4,814,901","3,587,729,796","6,834,164",2019
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Major Lazer,2011-11-20,846,52.8,"2,080,878,370","242,511","79,506,771",76.0,"308,933,095","270,919","289,518,843","26,993,119",2011
Spin Bout U,Drake,2022-11-04,856,52.6,"356,685,934","88,034","16,963,292",71.0,"56,086,730","76,706","229,937,284","1,574,072",2022
From The Start,Laufey,2023-05-11,855,52.6,"368,256,958","53,922","25,450,036",73.0,"69,276,606","224,617","772,554,264","1,011,059",2023
ZOOM,Jessi,2022-04-13,850,52.6,"166,161,044","22,288","7,774,873",61.0,"303,569,838","3,903,605","9,393,168,416","778,299",2022
Can't Feel My Face,The Weeknd,2015-03-02,851,52.6,"1,747,534,539","212,829","101,243,254",76.0,"1,689,190,795","552,005","264,572,676","14,056,461",2015
Quï¿½ï¿½ Onda Per,Grupo Firme,2023-03-30,852,52.6,"213,405,904","17,694","13,723,182",70.0,"401,470,868",,,"655,854",2023
Sexy And I Know It,LMFAO,2011-01-01,853,52.6,"436,722,440","107,912","33,797,077",62.0,"1,193,724,016","652,850","927,660,445","6,761,782",2011
WHATS POPPIN,Jack Harlow,2020-01-21,854,52.6,"819,779,577","161,131","28,874,159",70.0,"709,454,117","748,490","2,078,817,404","3,222,518",2020
POR EL CONTRARIO,Becky G,2023-09-28,857,52.5,"131,938,548","5,913","9,167,049",75.0,"118,669,957","836,833","589,093,596","684,079",2023
Danza Kuduro - Cover,DJ MIX NON-STOP CHANNEL,2023-12-21,859,52.4,"1,648,192,461",15,52,,,,,,2023
Rara Vez,Taiu,2023-02-08,860,52.4,"544,165,928","58,646","20,499,657",77.0,"200,445,038","302,386","1,522,432,243","943,365",2023
That That (prod. & feat. SUGA of BTS),PSY,2022-04-29,858,52.4,"269,491,606","26,075","16,176,936",66.0,"746,615,342","304,900","2,432,918,911","797,357",2022
Espresso,Sabrina Carpenter,2024-04-11,861,52.4,"536,986,458",637,"1,907,453",,,,,,2024
Whoï¿½ï¿½ï¿½s Afraid of Little O,Taylor Swift,2024-04-18,862,52.3,"166,168,092","5,004","25,607,992",78.0,"16,423,009",,"7,202,700","116,673",2024
THE LONELIEST,Mï¿½ï¿½ne,2022-10-07,865,52.2,"330,593,989","54,823","16,021,571",67.0,"175,561,257","296,115","270,169,817","4,266,103",2022
Yeah Glo!,GloRilla,2024-02-08,864,52.2,"89,513,100","8,049","60,410,593",75.0,"38,613,955",,"52,800","446,156",2024
Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,2018-04-20,863,52.2,"478,494,818","53,736","20,478,756",67.0,"2,148,970,473","43,294","145,723,405","3,116,053",2018
